[    0.000000] printk: log buffer data + meta data: 131072 + 557056 = 688128 bytes
[  178.414183] 8812eu: loading out-of-tree module taints kernel.
[  178.826518] usbcore: registered new interface driver rtl88x2eu
[  178.850711] rtl88x2eu 1-1.1:1.0 wlu1u1: renamed from wlan0
[  180.627535] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10408.777633] rtl88x2eu 1-1.1:1.0 wlu1u1: renamed from wlan0
[10410.057187] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10410.090254] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10415.297027] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10415.318292] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10420.549413] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10420.566353] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10425.810066] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10425.826186] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10431.059101] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10431.082405] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10436.298675] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10436.310301] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10441.549335] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10441.567214] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10446.797930] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10446.814845] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10452.057706] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10452.074866] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10457.310495] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10457.338535] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10462.553674] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10462.570890] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10467.797738] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10467.814529] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10473.048655] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10473.063035] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10478.297276] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10478.311128] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10483.545106] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10483.566225] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10488.800870] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10488.814207] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10494.054751] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10494.083094] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
