sweep,arm,bits,density_n,ptx,alias_pct,churn
width,random,6,45,0.3,5.1954,0.000
width,random,8,45,0.3,1.1711,0.000
width,random,10,45,0.3,0.3097,0.000
width,pfs,6,45,0.3,5.6253,0.000
width,pfs,8,45,0.3,1.1862,0.000
width,pfs,10,45,0.3,0.3035,0.000
width,pfs+dar,6,45,0.3,0.2255,1.296
width,pfs+dar,8,45,0.3,0.0413,0.217
width,pfs+dar,10,45,0.3,0.0097,0.046
traffic,random,8,45,0.05,0.6591,0.000
traffic,random,8,45,0.15,1.0747,0.000
traffic,random,8,45,0.3,1.1711,0.000
traffic,random,8,45,0.6,1.1875,0.000
traffic,pfs+dar,8,45,0.05,0.0873,0.168
traffic,pfs+dar,8,45,0.15,0.0452,0.181
traffic,pfs+dar,8,45,0.3,0.0413,0.217
traffic,pfs+dar,8,45,0.6,0.0413,0.216
density,random,8,25,0.3,0.7159,0.000
density,random,8,45,0.3,1.1711,0.000
density,random,8,70,0.3,2.4789,0.000
density,pfs+dar,8,25,0.3,0.0207,0.062
density,pfs+dar,8,45,0.3,0.0413,0.217
density,pfs+dar,8,70,0.3,0.0730,0.408
