BW  20MHz
Index   CH  Quality(%)  Availability(%)  Utilization(%)  WIFI Util(%)  Interference Util(%)
    0    1      100            100              0              0              0
    1    2      100            100              0              0              0
    2    3      100            100              0              0              0
    3    4      100            100              0              0              0
    4    5      100            100              0              0              0
    5    6      100            100              0              0              0
    6    7      100            100              0              0              0
    7    8      100            100              0              0              0
    8    9      100            100              0              0              0
    9   10      100            100              0              0              0
   10   11      100            100              0              0              0
   11   12      100            100              0              0              0
   12   13      100            100              0              0              0
   13   14      100            100              0              0              0
   19   36      100            100              0              0              0
   20   40      100            100              0              0              0
   21   44      100            100              0              0              0
   22   48      100            100              0              0              0
   23   52      100            100              0              0              0
   24   56      100            100              0              0              0
   25   60      100            100              0              0              0
   26   64      100            100              0              0              0
   35  100      100            100              0              0              0
   36  104      100            100              0              0              0
   37  108      100            100              0              0              0
   38  112      100            100              0              0              0
   39  116      100            100              0              0              0
   40  120      100            100              0              0              0
   41  124      100            100              0              0              0
   42  128      100            100              0              0              0
   43  132      100            100              0              0              0
   44  136      100            100              0              0              0
   45  140      100            100              0              0              0
   46  144      100            100              0              0              0
   47  149      100            100              0              0              0
   48  153      100            100              0              0              0
   49  157      100            100              0              0              0
   50  161      100            100              0              0              0
   51  165      100            100              0              0              0
