======= MAC REG =======
0x0000 0xdc1f0f98  0x00070082  0x20207c21  0x00000000 
0x0010 0x00000004  0xff000000  0x00400100  0x87f7f100 
0x0020 0xdf3c07df  0x00000000  0x070f0803  0x00150c84 
0x0030 0x25c700f0  0x00000000  0x02001000  0x04000000 
0x0040 0x1403020c  0x0000000a  0x00000000  0x0122e282 
0x0050 0x00000080  0x00000010  0x00000000  0x00000000 
0x0060 0x000000cf  0x3c201000  0x8041d804  0x00000701 
0x0070 0x06000024  0x0004043d  0x00a8c009  0x0810002b 
0x0080 0x8060c078  0x00000000  0x00000000  0x00000000 
0x0090 0xd400b502  0xeaeaeaea  0x00000000  0x00000000 
0x00a0 0x00000620  0x8830000f  0x00007000  0xeaeaeaea 
0x00b0 0x00000000  0xe1100000  0x00000000  0x00000000 
0x00c0 0xeaeaeaea  0x00000000  0xeaeaeaea  0x00000029 
0x00d0 0x00000000  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x00e0 0x00000000  0x00000000  0x00000000  0x87000000 
0x00f0 0x0c491d37  0x100014c9  0x00058129  0xc0000017 
0x0100 0x000006ff  0x00000010  0x00000000  0x0000f5a4 
0x0110 0x00000000  0x000f0400  0x00000000  0x00005eff 
0x0120 0x17e04000  0x00010c00  0x00000000  0x00000000 
0x0130 0x000003f2  0x0000000d  0x000001cf  0x0000e000 
0x0140 0x00800000  0x00000000  0x00000000  0x00000000 
0x0150 0x00000000  0x00000000  0x00000000  0x00000000 
0x0160 0x00000000  0x00000001  0x00000000  0x00000000 
0x0170 0x00000000  0x00000000  0x00000000  0x00000011 
0x0180 0x00000000  0x00000000  0x00000000  0x00000000 
0x0190 0x80000000  0x10000001  0x00000880  0x00000215 
0x01a0 0x00000000  0x00000000  0x00000000  0x00000000 
0x01b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x01c0 0x00000000  0xfe000000  0x00200019  0x00000000 
0x01d0 0x0000006d  0x0000016d  0x0000006d  0x0000016d 
0x01e0 0x00000000  0x00000000  0x00000000  0x00000000 
0x01f0 0x00000000  0x00000000  0x00000000  0x00000000 
0x0200 0x00200020  0x079a079a  0x0302e930  0x0ffd8200 
0x0210 0x00000000  0x00000000  0x00000000  0x00000000 
0x0220 0x00000000  0x00000000  0x00000000  0x00000000 
0x0230 0x00400040  0x00400040  0x00400040  0x00000000 
0x0240 0x06d906d9  0x0003e100  0x0003e500  0x0003e440 
0x0250 0x0003e440  0x00000009  0x00000000  0x00000000 
0x0260 0x00000000  0x00000000  0x00000000  0x00000000 
0x0270 0x00000000  0x00000000  0x00000000  0x00000000 
0x0280 0x04000101  0x00020000  0x00000000  0x00000000 
0x0290 0x2000009e  0x00005f00  0x00005f30  0x00010000 
0x02a0 0x00000000  0x00000000  0x00000000  0x00000000 
0x02b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x02c0 0x00000000  0x00000000  0x00000000  0x00000000 
0x02d0 0x00000000  0x00000000  0x00000000  0x00000000 
0x02e0 0x00000000  0x00000000  0x00000000  0x00000000 
0x02f0 0x00000000  0x00000000  0x00000000  0x00000000 
0x0300 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0310 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0320 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0330 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0340 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0350 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0360 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0370 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0380 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0390 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x03a0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x03b0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x03c0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x03d0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x03e0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x03f0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x0400 0x007fffff  0x007fffff  0x007fffff  0x007fffff 
0x0410 0x027fffff  0x007fffff  0x0fffa79a  0x000002e8 
0x0420 0x00311f83  0x0010079a  0x2020100a  0x4000c000 
0x0430 0x01000000  0x08070504  0x04030201  0x08070504 
0x0440 0x00000011  0xfe01f010  0x40000000  0x003ff010 
0x0450 0x40000000  0x079a7085  0x0000ffff  0x10050400 
0x0460 0x030fffff  0x007fffff  0x007fffff  0x007fffff 
0x0470 0x007fffff  0x007fffff  0x0ff60ff6  0xfe053a3a 
0x0480 0xa00c0420  0x00000000  0x00000000  0x00000000 
0x0490 0x00000000  0xfe01f015  0x40000000  0x0600f010 
0x04a0 0x400003e0  0x003ff015  0x40000000  0x31000020 
0x04b0 0x00000000  0x00000000  0x00000000  0x8f040040 
0x04c0 0x10001000  0x00040340  0x203f08ff  0x0801ff7f 
