======= RF REG =======
RF_Path(0)
0x00  0x00031d32  0x00060001  0x00000001  0x000017ff 
0x04  0x00000000  0x00000000  0x00000000  0x00000000 
0x08  0x00000000  0x00000000  0x00000000  0x00000000 
0x0c  0x00000000  0x00000000  0x00000000  0x00000000 
0x10  0x00000000  0x00000000  0x00000000  0x00000000 
0x14  0x00000000  0x00000000  0x00000000  0x00000000 
0x18  0x000531a1  0x00000000  0x00000c00  0x00002a40 
0x1c  0x000fa808  0x0000003f  0x00000000  0x00000000 
0x20  0x00000000  0x00000000  0x00000000  0x00000000 
0x24  0x00000000  0x00000000  0x00000000  0x00000000 
0x28  0x00000000  0x00000000  0x00000000  0x00000000 
0x2c  0x00000000  0x00000000  0x00000000  0x00000002 
0x30  0x00007010  0x00000000  0x00000000  0x0000000e 
0x34  0x00000000  0x00000000  0x00000000  0x00000000 
0x38  0x00000000  0x00000000  0x00000000  0x00000000 
0x3c  0x00000000  0x00000000  0x0000097c  0x00000003 
0x40  0x00000000  0x00000000  0x00005c2c  0x00015000 
0x44  0x00000000  0x00000000  0x00000000  0x00000000 
0x48  0x00000000  0x00000000  0x00000000  0x00000000 
0x4c  0x00000000  0x00000000  0x00000000  0x00000000 
0x50  0x00000000  0x00018449  0x0001a04f  0x0005a407 
0x54  0x00066005  0x0008404c  0x00089027  0x0000e60a 
0x58  0x00084220  0x000a0000  0x00010000  0x0000a01f 
0x5c  0x00024000  0x0000000a  0x00000000  0x00000027 
0x60  0x00002000  0x0004d2fa  0x000d2605  0x0004ad82 
0x64  0x0001ca30  0x00020000  0x00044000  0x0000550f 
0x68  0x0007e1b0  0x000d86e8  0x00000000  0x00000000 
0x6c  0x00000000  0x00000000  0x0008cae0  0x0001cae0 
0x70  0x00000000  0x00000000  0x00000000  0x00000000 
0x74  0x00000000  0x00000000  0x00000000  0x00000000 
0x78  0x00000000  0x00000000  0x00000000  0x00000000 
0x7c  0x00000000  0x00000000  0x00080009  0x00000000 
0x80  0x000000d0  0x0003fc00  0x00003330  0x00000009 
0x84  0x00000009  0x000a5895  0x000a8300  0x000db001 
0x88  0x0003300f  0x00000fb3  0x000010be  0x0006d903 
0x8c  0x0005626c  0x000d0000  0x000a5560  0x00001b4c 
0x90  0x00012444  0x00000000  0x00083700  0x0008b6ff 
0x94  0x00000000  0x00000000  0x00000000  0x00000000 
0x98  0x00000000  0x00000000  0x00000000  0x00000000 
0x9c  0x00000000  0x00000000  0x00020020  0x00063800 
0xa0  0x000c000f  0x00000000  0x00000000  0x00000000 
0xa4  0x00000000  0x00000000  0x00000000  0x00000000 
0xa8  0x00000000  0x00000000  0x00000000  0x00000000 
0xac  0x00000000  0x00000000  0x00000000  0x000ef000 
0xb0  0x0001f0fc  0x00092480  0x00023db6  0x000fcf60 
0xb4  0x00099d40  0x0004101f  0x00018ffd  0x00030014 
0xb8  0x000c0440  0x0000a461  0x0006840d  0x00080410 
0xbc  0x00000028  0x00000000  0x00000000  0x00000000 
0xc0  0x00000000  0x00000000  0x00000000  0x00000000 
0xc4  0x0001c102  0x00000000  0x0004028b  0x000ffffd 
0xc8  0x00000089  0x00000004  0x00080008  0x00000000 
0xcc  0x0000f012  0x00089200  0x00008000  0x00000000 
0xd0  0x000903b6  0x0005a080  0x000dd080  0x0000236d 
0xd4  0x00000007  0x00000000  0x00000000  0x00000000 
0xd8  0x00000000  0x00000000  0x00000000  0x00000000 
0xdc  0x00000000  0x00000400  0x00000004  0x00000400 
0xe0  0x00000000  0x00002263  0x00000000  0x0000000c 
0xe4  0x000e7802  0x0003d700  0x00011eb9  0x00000000 
0xe8  0x00000000  0x000001b6  0x00000000  0x00000000 
0xec  0x00000000  0x00000000  0x00000000  0x00000000 
0xf0  0x00008000  0x0000800b  0x00004385  0x00000001 
0xf4  0x00000401  0x00000000  0x00000000  0x00000000 
0xf8  0x00000000  0x00000000  0x00000000  0x00000000 
0xfc  0x00000000  0x00000000  0x00000000  0x00000000 
RF_Path(1)
0x00  0x00031d30  0x00060001  0x00000000  0x000017ff 
0x04  0x00000000  0x00000000  0x00000000  0x00000000 
0x08  0x00000000  0x00000000  0x00000000  0x00000000 
0x0c  0x00000000  0x00000000  0x00000000  0x00000000 
0x10  0x00000000  0x00000000  0x00000000  0x00000000 
0x14  0x00000000  0x00000000  0x00000000  0x00000000 
0x18  0x000531a1  0x00000000  0x00000c00  0x00002a40 
